icao,ident,lat,lon,heading_true_deg,length_ft,width_ft,displaced_threshold_ft,elevation_ft,surface
00CA,04,35.349300384521484,-116.89299774169922,50,6000,80,,,ASPH
00WI,09,44.30419921875,-89.052001953125,87.2,1000,60,,,TURF
01LS,09,30.722700119018555,-91.0802001953125,92.2,1800,150,,,TURF
01MT,13,48.79499816894531,-114.88600158691406,148,5000,70,,,ASPH-G
01OL,5,34.360721588134766,-96.7364730834961,50,1600,75,,1058,Turf
01OL,23,34.3930549621582,-96.68888854980469,230,1600,75,,1043,Turf
01WI,01,44.00559997558594,-90.3905029296875,9.6,2300,120,,,TURF
04CA,8,34.5666,-117.683,90,8000,150,,,ASP
04CA,26,34.5667,-117.6575,270,8000,150,,,ASP
04MS,17,32.94419860839844,-90.8373031616211,180,3400,100,,,ASPH-TURF
04NV,02,35.751800537109375,-115.66799926757812,33.5,3240,45,,,ASPH
05CL,10,38.61309814453125,-122.39700317382812,116,3700,60,840,618,ASPH-G
05LS,02,31.247100830078125,-92.47830200195312,22.4,2300,100,,,TURF
06FA,09,26.908100128173828,-80.33920288085938,90,7003,150,241,28,ASPH
06FA,27,26.908199310302734,-80.31770324707031,270,7003,150,241,28,ASPH
06MO,15,39.23529815673828,-94.806396484375,156.6,3000,30,,,ASPH
06TE,08,30.312299728393555,-95.03079986572266,83.9,3500,50,,,ASPH
06WN,27,46.92359924316406,-122.5479965209961,273.9,2845,30,64,,ASPH-G
07FA,04,25.3207,-80.279198,40,4500,70,,,ASP-G
07IA,18,40.650081,-95.021511,177,1600,60,,971,Turf
07IA,36,40.645694,-95.021189,357,1600,60,,969,Turf
07MT,10,48.430301666259766,-106.552001953125,120,13500,300,,2757,CONC-G
07MT,28,48.411800384521484,-106.50399780273438,300,13500,300,,2748,CONC-G
07TE,13,27.725799560546875,-97.51750183105469,134,5000,100,,39,ASPH
08MS,07,34.660499572753906,-89.87419891357422,70,3725,50,,,ASPH-TURF
09CL,01,39.11000061,-121.0589981,26,2834,50,,2240,ASPH-F
09FA,18,27.252199172973633,-81.41310119628906,180,4800,50,,,ASPH-E
09TS,09,29.48240089,-103.1709976,90,4083,42,,,ASPH
0AZ2,12,33.77939987182617,-113.64399719238281,131,1500,100,,,GRVL
0AZ2,17,33.78279877,-113.6409988,183,3500,42,,,ASPH
0CA9,16,35.59939956665039,-120.33899688720703,173,3300,60,,,ASPH
0CO2,11,38.854400634765625,-106.93800354003906,121.1,4000,40,,8980,ASPH
0ID2,11,44.44589996,-113.7850037,110,7507,75,,,ASPH
0KY1,10,36.76610184,-86.623703,98,3408,75,,,ASPH
0MI8,17,44.894554138183594,-84.30105590820312,170,1600,100,,1276,Torf
0MI8,35,44.890567779541016,-84.2999496459961,350,1600,100,,1273,Torf
0MI8,4,44.89099884033203,-84.30110168457031,36,2800,100,,1275,Turf
0MI8,22,44.89720153808594,-84.2947998046875,216,2800,100,,1276,Turf
0MS0,04,32.47159957885742,-88.62000274658203,40,3200,100,,,ASPH
0MS0,22,32.47840118408203,-88.61329650878906,310.3,3200,100,380,,ASPH
0NE6,17,40.43840026855469,-98.07109832763672,175.9,3500,100,200,,ASPH
0OH8,03,40.184600830078125,-84.25830078125,24.8,3000,50,,,ASPH
0OK3,16,35.6260986328125,-98.5239028930664,170.4,5000,30,,,ASPH
0TA7,05,30.141000747680664,-103.90599822998047,58.5,5000,100,,4680,TURF
0TA7,12,30.157100677490234,-103.90599822998047,128.5,5200,100,,4688,ASPH
0TA7,15,30.161300659179688,-103.89900207519531,158.5,5100,100,,,TURF
0TE4,16,31.084999084472656,-96.21649932861328,164.6,3000,40,350,,ASPH
0TE5,17,27.4419002532959,-99.1875,170,5992,77,,,ASPH
0TE7,17,30.260400772094727,-98.62339782714844,175,6291,60,,1515,ASPH
0TE7,35,30.243200302124023,-98.62169647216797,355,6291,60,,1433,ASPH
0TX1,18,32.35879898071289,-97.6759033203125,185.4,3500,50,,,ASPH
0WI1,04,45.50389862,-92.14579773,39.3,2300,40,,,ASPH
0WI4,08,43.82889938354492,-89.35859680175781,82.8,3200,40,,,ASPH
0XA4,15,28.00320053,-98.88539886,156,5005,75,,,ASPH-G
0XA4,33,27.99069977,-98.8789978,336,5005,75,,,ASPH-G
0XA5,13,28.688600540161133,-98.38690185546875,136,3800,75,,,ASPH
0XS7,13,29.19809913635254,-100.28099822998047,140,6000,60,,,ASPH
10AZ,08,33.36640167236328,-112.6240005493164,90,3407,150,,860,ASPH-DIRT
11LS,07,30.97520065,-92.57170105,70.3,2200,80,,,TURF
11LS,09,30.97610092,-92.57109833,91.9,2500,90,,,TURF
12NC,01,34.86899948120117,-76.34919738769531,0.5,3575,150,,,ASPH
12NC,05,34.87189865112305,-76.35600280761719,46.6,3678,150,,,ASPH
12NC,10,34.878501892089844,-76.3550033569336,90.5,3500,150,,,ASPH
12WV,18,38.34577941894531,-82.11255645751953,169,1292,40,,603,Turf
12WV,36,38.342288970947266,-82.11170959472656,349,1292,40,,603,Turf
12WV,6,38.342481,-82.111962,45,1053,40,,,Turf
12WV,24,38.344563,-82.108924,225,1053,40,,603,Turf
13NC,05,35.02629852294922,-77.26360321044922,44.6,4200,150,,,ASPH
14AZ,06,31.906400680541992,-111.12899780273438,71.1,4300,50,,,ASPH-TRTD
14MS,03,32.34339904785156,-89.0354995727539,30,1600,75,,,TURF
14MS,08,32.344398498535156,-89.03970336914062,79.6,3500,75,,,ASPH-TURF
14NC,05,34.50310135,-77.56169891,52.3,4526,245,,,CONC
14TS,16,27.42950058,-98.60769653,160,6010,70,,,ASPH
14WS,15,45.780601501464844,-91.56159973144531,140.3,2450,60,,,TURF
15AR,14,34.82870101928711,-90.54570007324219,144.7,2500,120,,,ASPH-TURF
15FL,09,30.14999962,-82.66690063,90,2600,50,305,,TURF
15FL,18,30.15859985,-82.66639709,180,3500,25,380,,ASPH
15MN,05,45.2599983215332,-94.51439666748047,49.8,2500,120,,,TURF
15MN,23,45.264400482177734,-94.50689697265625,271.9,2500,120,,,TURF
17FL,09,29.29059982,-82.13619995,90,3457,100,,,TURF
17FL,18,29.29059982,-82.12480164,180,7380,190,1800,,ASPH
17FL,36,29.26989937,-82.12480164,255,7380,190,,,ASPH
17TX,17,32.45309829711914,-98.25540161132812,175.5,3200,30,,,ASPH
17XS,01,32.16960144042969,-98.4385986328125,20.2,6295,80,370,1313,ASPH-G
18AZ,06,33.81639862,-111.9039993,72.6,4029,50,,2490,ASPH
18TA,16,30.142099380493164,-99.74610137939453,160,4500,48,,,ASPH
18TE,08,32.58530045,-95.07219696,91,5093,45,,359,ASPH-G
18TE,26,32.58509827,-95.05570221,271,5093,45,,349,ASPH-G
19AR,09,35.15679931640625,-92.22709655761719,92.4,1700,50,,,TURF
19AZ,17,34.60940170288086,-111.86599731445312,182.6,3300,60,,,ASPH
1AZ0,09,33.10139846801758,-112.27400207519531,101.7,4500,75,,,ASPH
1AZ0,27,33.098899841308594,-112.25900268554688,241.6,4500,75,,,ASPH
1CD2,08,40.166500091552734,-104.7979965209961,80,3000,24,,,ASPH
1CD2,26,40.16790008544922,-104.78700256347656,223,3000,24,,,ASPH
1CO5,08,38.01580047607422,-103.70899963378906,94.6,3780,45,,4232,ASPH-F
1CO5,18,38.0182991027832,-103.697998046875,193,2500,44,,4252,GRVL-F
1LS0,17,30.229400634765625,-90.88269805908203,174,4000,200,,,TURF
1LS0,35,30.218599319458008,-90.88140106201172,354,4000,200,,,TURF
1MO3,SE,39.936298,-94.075684,155,3200,50,,,ASP
1MO3,NW,39.928827,-94.071593,335,3200,50,,,ASP
1MS8,13,32.94609833,-88.58670044,133,6302,150,,,ASPH-CONC
1MY1,09,45.98569869995117,-96.20330047607422,93.9,4500,60,,,ASPH-TURF
1OK3,17,34.57970047,-97.81439972,164.3,2640,30,,,TURF-G
1TE1,13,28.254199981689453,-99.82129669189453,136.2,4000,50,,650,ASPH
1TE1,31,28.246299743652344,-99.81269836425781,240.3,4000,50,,,ASPH
1VA8,13,36.86439895629883,-78.41349792480469,127.2,3000,60,600,,TURF-GRVL
1VA8,31,36.859500885009766,-78.4052963256836,284,3000,60,1150,,TURF-GRVL
1WA6,E,47.55939865112305,-121.87000274658203,88,3000,25,,,ASPH-TURF
1WA6,W,47.55970001220703,-121.85800170898438,268,3000,25,,,ASPH-TURF
1WI8,18,44.639400482177734,-87.44049835205078,176.9,2600,100,,,TURF
1WN3,03,45.209999084472656,-92.53759765625,30.7,1600,50,,,TURF
1WN3,12,45.213401794433594,-92.53919982910156,124,2000,60,,,TURF
1XS8,16,29.63990020751953,-100.37699890136719,160,4500,50,,,ASPH
20AR,08,35.30720138549805,-92.3230972290039,73.8,2000,55,,,TURF
20AR,26,35.30860137939453,-92.31729888916016,252,2000,55,,,TURF
20GA,10,33.757301330566406,-84.8927993774414,97,4500,50,,1064,ASPH
20GA,28,33.75590133666992,-84.87770080566406,277,4500,50,,1094,ASPH
21AZ,12,34.35609817504883,-109.9749984741211,133.1,4000,50,,6026,ASPH
22XS,15,31.37809944152832,-97.66919708251953,153.5,3488,75,,720,ASPH
22XS,33,31.369400024414062,-97.66419982910156,205,3488,75,,720,ASPH
23ND,08,47.081298828125,-101.2750015258789,80,4000,60,,,ASP
23ND,26,47.08319854736328,-101.25900268554688,260,4000,60,,,ASP
23XS,15,31.363399505615234,-97.67449951171875,152,2200,50,,720,ASPH
24AR,18,34.201499938964844,-90.95240020751953,185.8,2500,20,,,CONC
24CL,14,36.09749985,-119.5469971,157.1,6815,75,,205,ASPH
25NC,18,35.63759994506836,-79.71070098876953,173,3100,60,150,,TURF-G
25TA,09,29.83659935,-94.97309875,90,3600,40,,,CONC
25TS,17,36.10060119628906,-102.41600036621094,180,6500,75,685,3961,CONC-P
26AR,10,35.21659851074219,-91.81269836425781,105.5,3009,60,,,TURF
27AZ,17,33.92470169067383,-113.16699981689453,184.9,3906,40,242,2180,ASPH
27IA,09,40.75130081176758,-92.03410339355469,90,1800,60,,750,TURF
27IA,27,40.75130081176758,-92.02760314941406,270,1800,60,,735,TURF
28TA,14,27.84440040588379,-98.72720336914062,140,10280,34,,,ASPH
29AZ,03,32.900299072265625,-112.90699768066406,45.5,5500,60,,737,ASPH
29AZ,21,32.91080093383789,-112.89399719238281,340,5500,60,,732,ASPH
29AZ,18,32.91059875488281,-112.89399719238281,191.4,3000,150,,,DIRT
29IA,17,40.760414,-95.624069,173,3049,80,,1092,Turf
29IA,35,40.752117,-95.62276,353,3049,80,,1116,Turf
29TX,15,34.09809875488281,-99.36810302734375,150,3000,30,,,ASPH
2CL9,07,38.333900451660156,-121.31099700927734,85.6,4000,40,,,ASPH
2CN4,16,35.65420150756836,-119.88200378417969,176.2,5002,60,,,ASPH
2CN4,34,35.64390182495117,-119.88099670410156,268.8,5002,60,,,ASPH
2IL9,04,41.42919921875,-87.78559875488281,39.4,3400,40,,,ASPH
2KY5,16,38.37889862,-83.1568985,156,3029,40,,,ASPH
2NC0,14,35.871639,-82.345573,136,2900,51,,4432,ASPH
2NC0,32,35.86625,-82.339304,316,2900,51,,4387,ASPH
2OR1,04,44.82529830932617,-120.50199890136719,57,4185,70,,,ASPH-G
2SC5,08,34.29100036621094,-82.05879974365234,80,3100,40,,,ASPH
2SD9,18,45.45560073852539,-99.01010131835938,180,2500,28,,,ASPH
2TA6,01,31.856399536132812,-96.19940185546875,14.7,4700,72,200,,CONC-G
2TA8,13,26.86440086,-98.228302,133,5499,75,,196,ASPH
2TS6,17,32.516998291015625,-96.9271011352539,174.9,3200,36,350,,CONC
2TS8,15,29.225799560546875,-97.87439727783203,155.5,4200,25,,,ASPH
2TS8,33,29.215299606323242,-97.868896484375,229,4200,25,,,ASPH
2TX3,18,29.224199295043945,-100.61699676513672,180,5280,50,,,ASPH
2TX4,17,27.990100860595703,-99.37799835205078,170,4800,60,,,ASPH
2TX4,35,27.977100372314453,-99.37539672851562,270,4800,60,512,,ASPH
2VA9,03,38.753700256347656,-77.78910064697266,19.8,3250,50,400,,ASPH
2VA9,21,38.76210021972656,-77.7853012084961,263.3,3250,50,,,ASPH
2VG2,NW,38.968092,-77.862177,127,5100,100,,557,ASP
2VG2,SE,38.975166,-77.877653,307,5100,100,,519,ASP
2WN3,09,44.35770034790039,-88.76619720458984,88,2500,60,,,TURF
2WN3,27,44.358001708984375,-88.75659942626953,270,2500,60,660,,TURF
2WN3,18,44.35919952392578,-88.76129913330078,183,1001,60,,,TURF
2WN3,36,44.35649871826172,-88.7614974975586,330,1001,60,,,TURF
2WN5,11,44.007198333740234,-90.0238037109375,105.5,2500,100,,,TURF
2XA0,17,33.983299255371094,-99.71279907226562,180,3200,39,,1479,ASPH-P
2XA0,35,33.974700927734375,-99.71279907226562,338,3200,39,,,ASPH-P
2XS1,18,30.22599983215332,-98.3019027709961,185.6,4600,75,600,,ASPH
2XS1,36,30.213499069213867,-98.30329895019531,308,4600,75,200,,ASPH
2XS2,15,28.26910019,-100.1650009,156.4,5164,80,,,ASPH
2XS3,16,32.022499084472656,-95.70279693603516,160,4250,75,,,ASPH-P
2XS3,34,32.01139831542969,-95.6980972290039,316.9,4250,75,80,,ASPH-P
2XS5,17,30.014400482177734,-98.42610168457031,170,3000,50,,,ASPH
2XS5,35,30.006399154663086,-98.42440032958984,311.1,3000,50,,,ASPH
2XS8,15,29.233600616455078,-99.82599639892578,156.3,3300,80,,,ASPH
2XS8,33,29.225299835205078,-99.8218994140625,344.6,3300,80,,,ASPH
30GA,14,34.46340179,-84.18579865,140,5619,40,,,ASPH
30GA,32,34.45460129,-84.17680359,318.7,5619,40,,,ASPH
30NE,17,40.359317779541016,-98.68579864501953,180,2600,60,,2044,TURF
30NE,35,40.35218048095703,-98.68583679199219,360,2600,60,,2075,TURF
31VA,02,37.012298583984375,-76.59110260009766,13,5921,60,,23,ASPH
31VA,20,37.028099060058594,-76.58670043945312,359.9,5921,60,,29,ASPH
31WI,06,43.00419998,-88.60939789,60.4,4558,50,,,ASPH
31WI,24,43.01029968,-88.59470367,201,4558,50,,,ASPH
33VT,2,44.116111755371094,-72.56694030761719,20,1722,100,,1350,Turf
33VT,20,44.12055587768555,-72.5647201538086,200,1722,100,,1350,Turf
35XA,12,30.835031509399414,-94.94371795654297,119,1461,80,,240,Turf/Dirt
35XA,30,30.833086013793945,-94.93964385986328,299,1461,80,,267,Turf/Dirt
36CA,16,36.13639831542969,-119.98600006103516,173.1,3300,30,,,ASPH
36MI,13,42.036598205566406,-83.88359832763672,125,4278,75,,789,ASPH
36MI,31,42.02989959716797,-83.87069702148438,305,4278,75,,794,ASPH
36MI,7,42.031898498535156,-83.8864974975586,63,4258,75,,794,ASPH
36MI,25,42.03710174560547,-83.87259674072266,243,4258,75,,794,ASPH
36WI,18,44.03670120239258,-91.29969787597656,180,3200,60,300,,ASPH
36WI,36,44.027801513671875,-91.29969787597656,221.3,3200,60,300,,ASPH
38XS,14,26.82200050354004,-98.4843978881836,145.9,6000,75,,,ASPH
38XS,32,26.808399200439453,-98.4740982055664,285,6000,75,,,ASPH
39MD,9,38.27483367919922,-76.7271728515625,86,1800,60,,21,Turf
39MD,27,38.27513885498047,-76.72091674804688,266,1800,60,,15,Turf
39TE,08,32.71080017089844,-102.73899841308594,90,2700,75,,,GRAVEL-F
39TE,26,32.71080017089844,-102.73100280761719,356,2700,75,,,GRAVEL-F
39TE,17,32.72330093383789,-102.73799896240234,180,4000,50,,,ASPH-P
3AK2,06,61.64099884033203,-149.28900146484375,82,700,50,,,GRVL-F
3AK2,24,61.64250183105469,-149.26699829101562,262,700,50,,,GRVL-F
3AZ5,07,35.56999969482422,-113.30000305175781,83.5,4790,30,,,ASPH
3GE3,07,34.41059875488281,-83.18890380859375,70,3000,40,,,CONC
3GE3,25,34.413299560546875,-83.17939758300781,202,3000,40,,,CONC
3KS2,18,37.06328201293945,-96.99879455566406,178,2051,70,,1166,Turf
3KS2,36,37.057655334472656,-96.99862670898438,359,2051,70,,1139,Turf
3KS9,17,37.73232650756836,-101.19554138183594,179,3800,24,,3091,ASP
3KS9,35,37.721900939941406,-101.19528198242188,359,3800,24,,3080,ASP
3LA4,12,29.802629470825195,-92.8088607788086,122,4002,60,,2,ASP
3LA4,30,29.796733856201172,-92.79821014404297,302,4002,60,,7,ASP
3MO4,S,36.454201,-89.628304,176,2600,100,,,TURF
3MO4,N,36.446899,-89.6278,356,2600,100,,,TURF
3ND6,9,47.24222183227539,-99.8994140625,97,897,30,,1940,Turf
3ND6,27,47.24191665649414,-99.89583587646484,277,897,30,,1945,Turf
3NE5,11,40.949142,-96.206612,118,2500,25,,1142,CON
3NE5,29,40.945961,-96.198586,298,2500,25,,1165,CON
3OK5,18,34.73189926147461,-97.60540008544922,185.9,2400,50,,,TURF
3OL8,03,36.872501373291016,-95.15360260009766,34,4600,40,,,ASP
3OL8,21,36.88309860229492,-95.14469909667969,214,4600,40,,,ASP
3SC4,08,34.76969909667969,-81.99250030517578,59.9,3033,50,,,ASPH
3TA0,18,30.1019001,-100.4029999,190,4093,30,,2241,ASPH
3TA0,36,30.09110069,-100.4049988,271,4093,30,,,ASPH
3TA5,01,30.12890053,-98.38459778,10,3450,27,,,ASPH
3TA5,19,30.13809967,-98.38269806,285.6,3450,27,,,ASPH
3TA6,15,29.547000885009766,-100.25599670410156,150,4280,36,,,ASPH
3TS1,02,30.00749969482422,-98.04219818115234,20,3000,50,,,ASPH-F
42KY,18,36.7806015,-88.22239685,179,2544,32,,,ASPH
42KY,36,36.77230072,-88.22219849,240,2544,32,,,ASPH
42TT,14,30.45802116394043,-95.23367309570312,134,2533,100,,250,Turf
42TT,32,30.453163146972656,-95.22792053222656,314,2533,100,,240,Turf
42XA,15,31.364599227905273,-97.0916976928711,153,1872,150,,472,Turf
42XA,33,31.360000610351562,-97.08889770507812,333,1872,150,,458,Turf
43MI,36,45.856633,-87.117744,210,2977,68,,720,TURF-F
43MN,15,46.9379997253418,-92.4166030883789,147,3500,100,,1367,Turf
43MN,33,46.93000030517578,-92.40889739990234,327,3500,100,,1385,Turf
43MT,13,47.994225,-115.754425,145,2200,100,649,2301,Turf/Gravel
43MT,31,47.989264,-115.749316,325,2200,100,550,2301,Turf/Gravel
43NC,01,36.016700744628906,-80.51689910888672,6,3000,100,,,TURF
43NC,19,36.024898529052734,-80.51589965820312,212,3000,100,830,,TURF
44SC,2,33.477500915527344,-80.77861022949219,16,3366,75,,180,ASP
44SC,20,33.48638916015625,-80.77555847167969,196,3366,75,,184,ASP
44XA,1,27.832500457763672,-97.77278137207031,11,3292,22,,72,asphalt/dirt
44XA,19,27.841388702392578,-97.77083587646484,191,3292,22,,72,asphalt/dirt
45CN,09,37.863399505615234,-120.18399810791016,111,2700,60,,2892,DIRT-TURF
45CN,27,37.859901428222656,-120.1719970703125,291,2700,60,,2930,DIRT-TURF
46CN,07,34.48400115966797,-117.83399963378906,84,4500,250,,,ASPH-DIRT-G
46CN,25,34.48540115356445,-117.81900024414062,334.1,4500,250,,,ASPH-DIRT-G
47KS,35,38.76779938,-95.27500153,217,2500,50,,980,TURF
47TX,11,26.93630027770996,-97.76799774169922,115.5,4000,30,,,ASPH
47TX,29,26.93160057067871,-97.75700378417969,245,4000,30,,,ASPH
48FA,13W,28.841969,-81.807511,130,4077,90,,63,WAT
48FA,31W,28.834722,-81.797794,310,4077,90,,63,WAT
48XS,13,29.931699752807617,-103.30000305175781,138.2,5000,40,,,ASPH
48XS,31,29.92140007019043,-103.29000091552734,355.3,5000,40,,,ASPH
49IL,09,41.593299865722656,-88.6957015991211,90,2200,100,150,,TURF
49IL,27,41.593299865722656,-88.6875991821289,251,2200,100,292,,TURF
49MT,10,45.60911560058594,-109.1319580078125,114,6000,100,,3901,GVL
49MT,28,45.60231399536133,-109.11060333251953,294,6000,100,,3901,GVL
4AK6,08,61.639375,-149.294875,90,3800,40,,533,ASP
4AK6,26,61.642502,-149.266998,270,3800,40,,530,ASP
4AR1,09,35.04119873046875,-92.10530090332031,88.9,3000,30,,,ASPH
4AR1,27,35.04130172729492,-92.0968017578125,268.3,3000,30,689,,ASPH
4AR2,09,34.90850067138672,-92.01219940185547,92.7,3700,100,,,TURF
4AR2,27,34.908199310302734,-92.00450134277344,296.8,3700,100,551,,TURF
4FA7,14,28.807310104370117,-82.12364196777344,141,4031,100,,39,Water
4FA7,32,28.798721313476562,-82.11575317382812,321,4031,100,,39,Water
4TA0,17,29.36000061,-95.66470337,170,3280,35,,,ASPH
4TA0,35,29.35110092,-95.6631012,221,3280,35,,,ASPH
4TE9,08,29.263099670410156,-99.3573989868164,80,4400,150,,,ASPH
4TE9,26,29.265199661254883,-99.34380340576172,221,4400,150,,,ASPH
4TS8,SE,29.378576,-99.343738,135,3000,150,,,ASP
4TS8,NW,29.371074,-99.340319,315,3000,150,,,ASP
4WA0,07,46.94029998779297,-119.74500274658203,90,3700,65,,,ASPH
4WA0,25,46.94029998779297,-119.7300033569336,263.3,3700,65,,,ASPH
4WI4,16,45.577301025390625,-89.74949645996094,161.8,2500,70,,,TURF
4WI4,34,45.57080078125,-89.74649810791016,224,2500,70,,,TURF
50TX,13,30.14109992980957,-98.529296875,135.6,3500,40,,,ASPH
50XS,13,29.04789924621582,-100.58899688720703,136.7,4608,75,,,ASPH
50XS,31,29.038700103759766,-100.58000183105469,313.8,4608,75,962,,ASPH
54MU,17,40.303842,-95.112711,173,2500,80,,1007,Turf
54MU,35,40.297025,-95.111647,353,2500,80,,966,Turf
54XA,18,33.49489974975586,-97.21109771728516,180,2325,75,,802,Turf/Dirt
54XA,36,33.48830032348633,-97.21109771728516,360,2325,75,,758,Turf/Dirt
55XS,01,29.16069984436035,-100.41999816894531,16.9,4316,60,,,ASPH
55XS,19,29.172000885009766,-100.41600036621094,337.7,4316,60,,,ASPH
56FD,18,30.970699310302734,-85.06939697265625,180,4400,150,,,ASPH-G
56FD,36,30.958599090576172,-85.06939697265625,293,4400,150,,,ASPH-G
56LA,18,32.349998474121094,-93.81780242919922,184.1,3500,100,,,ASPH-TURF
56WI,09,44.773399353027344,-89.59850311279297,94.3,1490,80,600,,TURF
56WI,27,44.773101806640625,-89.5927963256836,323,1490,80,300,,TURF
57AZ,01,32.44219971,-111.0080032,21.9,4670,44,100,,ASPH-G
57AZ,19,32.4510994,-110.9980011,265,4670,44,,,ASPH-G
57FA,17,28.215599060058594,-81.12079620361328,170,5100,60,,,ASPH
57FA,35,28.20170021057129,-81.1177978515625,269,5100,60,,,ASPH
57GA,18,34.867401123046875,-84.393798828125,180,3100,30,,,ASPH
57GA,36,34.8588981628418,-84.393798828125,0,3100,30,,,ASPH
57MT,12,46.20405197143555,-114.0855484008789,141,1645,75,,4045,Turf
57MT,30,46.2005500793457,-114.08145904541016,321,1645,75,,4085,Turf
57MT,5,46.20050048828125,-114.08699798583984,63,1495,75,,4060,Turf
57MT,23,46.20240020751953,-114.08100128173828,243,1495,75,,4070,Turf
57XA,12,29.85912,-98.11609,122,1092,75,,957,Turf/Gravel
57XA,30,29.85754,-98.113159,302,1092,75,,957,Turf/Gravel
58CL,08,33.19189835,-116.2809982,95.8,2610,45,250,,ASPH
58MT,9,46.54472351074219,-111.07527923583984,99,2687,75,,5156,Turf
58MT,27,46.543609619140625,-111.0647201538086,279,2687,75,,5123,Turf
59AR,9,35.88224,-90.616219,93,2200,75,,260,GRS
59AR,27,35.881927,-90.608795,273,2200,75,,271,GRS
59FD,10,26.32169914,-80.99610138,100,5596,50,,,ASPH
5AL5,18,34.6952018737793,-87.65280151367188,180,3000,50,,,ASPH
5AR1,15,33.716400146484375,-91.46330261230469,154.6,3200,85,,,ASPH-TURF
5AZ3,08,33.21279907,-111.625,92.5,5124,80,900,,ASPH
5AZ3,26,33.21220016,-111.6090012,224,5124,80,,,ASPH
5CA7,16,36.34000015258789,-120.24700164794922,175.3,3000,40,,,ASPH
5CA7,34,36.33190155029297,-120.24700164794922,217,3000,40,,,ASPH
5CL8,16,35.18040084838867,-118.9280014038086,174,2000,100,,,TRTD
5CL8,34,35.17300033569336,-118.927001953125,354,2000,100,,,TRTD
5FL7,22,28.981000900268555,-82.36150360107422,203,2600,100,197,,TURF
5KY4,13,36.805599212646484,-87.17970275878906,137,2930,75,,,TURF-G
5KY4,31,36.79970169067383,-87.17310333251953,317,2930,75,,,TURF-G
5KY5,18,36.8667984,-87.79019928,181.1,3150,40,290,,ASPH
5LL7,E,42.21044921875,-88.5237808227539,90,2016,70,,871,Turf
5LL7,W,42.21050262451172,-88.5163345336914,270,2016,70,,861,Turf
5MO6,18,40.130428,-92.291131,180,1800,75,,882,Turf
5MO6,36,40.126472,-92.291125,360,1800,75,,871,Turf
5MS1,17,32.95930099487305,-90.84590148925781,180,3670,75,,,CONC-TURF
5MS5,03,30.53919983,-89.46679688,30,5800,125,,,TURF-G
5NC3,13,35.343266,-79.440174,131,2538,36,,417,ASPH-G
5NC3,31,35.339774,-79.433669,300,2538,36,,436,ASPH-G
5TE0,15,28.635000228881836,-100.16200256347656,156.7,5500,80,,,ASPH
5TE0,33,28.6210994720459,-100.15599822998047,270,5500,80,,,ASPH
5TE4,01,36.50279998779297,-102.39399719238281,18.3,4300,35,,,ASPH-F
5WA8,06,47.041900634765625,-124.15299987792969,79,3700,40,,,ASPH
60OA,9,41.40089797973633,-80.5838623046875,90,2900,100,,962,Turf
60OA,27,41.40087127685547,-80.57329559326172,270,2900,100,,962,Turf
60TE,16,30.137399673461914,-99.15190124511719,160,3000,50,,,ASPH
60TE,34,30.12969970703125,-99.14869689941406,288,3000,50,,,ASPH
62FL,09,27.84440040588379,-81.4447021484375,90,3200,48,,,ASPH
62FL,27,27.84440040588379,-81.43479919433594,251,3200,48,,,ASPH
63NY,18,43.26539993,-78.96679688,165.4,3153,60,600,,TURF
63NY,36,43.25690079,-78.96379852,292.9,3153,60,,,TURF
63XS,17,30.22960090637207,-98.28980255126953,170,4100,40,,,ASPH
63XS,35,30.2185001373291,-98.2874984741211,318,4100,40,,,ASPH
65LA,02,29.861900329589844,-90.0239028930664,21.2,3200,40,,,ASPH-F
65LA,20,29.8700008392334,-90.02030181884766,344.3,3200,40,,,ASPH-F
65MS,18,34.56700134277344,-89.88410186767578,180,1700,60,,340,Turf
65MS,36,34.562400817871094,-89.88410186767578,360,1700,60,,309,Turf
65XA,2,30.901422,-94.696739,20,1625,250,,240,Turf
65XA,20,30.905725,-94.694931,200,1625,250,,239,Turf
67CA,09,37.07379913330078,-120.38300323486328,105,3000,20,,,ASPH
67MU,10,39.454498291015625,-91.40070343017578,95,2710,100,,742,Turf
67MU,28,39.453800201416016,-91.39109802246094,275,2710,100,,744,Turf
68CA,15,40.3651008605957,-122.21700286865234,166.5,3000,75,,,ASPH-F
68IS,09,42.14860153,-88.56749725,90,2998,50,,747,ASPH
69TX,14,28.5883007,-96.85890198,140,3898,40,,,ASPH
69WT,15W,47.40167999267578,-122.44677734375,165,4226,200,,0,Water
69WT,33W,47.39051055908203,-122.44225311279297,345,4226,200,,0,Water
69WT,4W,47.39521026611328,-122.46112823486328,59,5637,200,,0,Water
69WT,22W,47.40319061279297,-122.44164276123047,239,5637,200,,0,Water
6AR8,09,35.3302001953125,-94.04429626464844,97.1,1400,75,,,GRE
6AR8,27,35.32979965209961,-94.03959655761719,277.1,1400,75,,,GRE
6AR8,18,35.33340072631836,-94.04149627685547,185.8,2500,85,,,GRE
6AR8,36,35.32659912109375,-94.04239654541016,5.8,2500,85,,,GRE
6AR9,09,36.41550064086914,-92.69950103759766,92.1,3000,150,,,TURF
6AR9,27,36.41510009765625,-92.68939971923828,202.7,3000,150,,,TURF
6FL3,01,26.931900024414062,-81.56809997558594,10,4000,50,,,ASPH
6FL8,36,29.583999633789062,-82.87120056152344,327,2600,75,105,,TURF-G
