icao,name,municipality,iso_country,type,latitude_deg,longitude_deg
FAPU,Paarl East Airport,Paarl,ZA,small_airport,-33.710766666699996,19.024388888900003
FAPV,Petrusville Airport,Petrusville,ZA,small_airport,-30.08180046081543,24.67959976196289
FAPW,Pietersrus Airport,Pietersrus,ZA,small_airport,-26.60610008239746,29.329200744628906
FAPX,Paradise Beach Airport,Jeffreys Bay,ZA,small_airport,-34.10133,24.884352
FAPY,Parys Airport,Parys,ZA,small_airport,-26.889299,27.503401
FAPZ,Progress Airport,Sunlands,ZA,small_airport,-33.926448,25.371916
FAQF,Pomfret Airport,Pomfret,ZA,small_airport,-25.847700119,23.537300109900002
FAQT,Queenstown Airport,Queenstown,ZA,medium_airport,-31.92020034790039,26.882200241088867
FARA,Petit Airport,Daveyton,ZA,small_airport,-26.0845963451,28.390386581399998
FARB,Richards Bay Airport,Richards Bay,ZA,medium_airport,-28.740999221800003,32.0920982361
FARD,Riversdale Airport,Riversdale,ZA,small_airport,-34.111698150634766,21.262800216674805
FARG,Rustenburg Airport,Rustenburg,ZA,medium_airport,-25.6443,27.271099
FARI,Reivilo Airport,Reivilo,ZA,small_airport,-27.547199249267578,24.172500610351562
FARM,Richmond Airport,Richmond,ZA,small_airport,-31.423500061035156,23.978200912475586
FARO,Rooiberg Airport,Rooiberg,ZA,small_airport,-24.7777888889,27.7523361111
FARS,Robertson Airport,Robertson,ZA,medium_airport,-33.812199,19.9028
FARZ,Reitz Airport,Maasstroom,ZA,small_airport,-22.78420066833496,28.430299758911133
FASB,Springbok Airport,Springbok,ZA,medium_airport,-29.689300537109375,17.939599990844727
FASC,Secunda Airport,Secunda,ZA,medium_airport,-26.52409935,29.170099258399997
FASD,Saldanha/Vredenburg Airport,Saldanha-Vredenburg,ZA,medium_airport,-32.9641,17.969299
FASE,Sabi Sabi Airport,Belfast,ZA,small_airport,-24.947375434199998,31.4488477707
FASG,Schweizer Reneke Airport,Schweizer Reneke,ZA,small_airport,-27.16309928894043,25.286100387573242
FASH,Stellenbosch Airport,Stellenbosch,ZA,small_airport,-33.980983,18.822327
FASI,Springs Airfield,Del Fouche,ZA,small_airport,-26.2494,28.398272
FASJ,Saffier Airport,Saffier,ZA,small_airport,-26.760000228881836,27.760000228881836
FASK,Swartkop Air Force Base,Pretoria,ZA,medium_airport,-25.8097,28.1646
FASL,Sutherland Airport,Sutherland,ZA,small_airport,-32.48820114135742,20.697099685668945
FASM,Siteka Airport,Siteka,ZA,small_airport,-29.325000762939453,30.149200439453125
FASN,Senekal Airport,Senekal,ZA,small_airport,-28.31220054626465,27.646099090576172
FASS,Sishen Airport,Sishen,ZA,medium_airport,-27.6486,22.9993
FAST,Somerset East Airport,Somerset East,ZA,small_airport,-32.75019836425781,25.594999313354492
FASU,Sace Airport,Sace,ZA,small_airport,-25.956899642944336,29.211700439453125
FASW,Slurry Airport,Slurry,ZA,small_airport,-25.81559944152832,25.88640022277832
FASX,Hendrik Swellengrebel Airport,Swellendam,ZA,small_airport,-34.048199,20.4746
FASZ,Skukuza Airport,Skukuza,ZA,medium_airport,-24.96085,31.588587
FATA,Tedderfield Air Park,Tedderfield,ZA,small_airport,-26.352037738499998,27.9681630135
FATB,Thorny Bush Game Lodge Airport,Hoedspruit,ZA,small_airport,-24.416086,31.164232
FATF,Tommys Field Airport,Beeshoek,ZA,small_airport,-28.26,22.9932
FATG,Thaba Tholo Airport,,ZA,small_airport,-24.2811,27.2294
FATH,Thohoyandou Airport,Thohoyandou,ZA,small_airport,-23.0769,30.3836
FATI,Thabazimbi Airport,Thabazimbi,ZA,small_airport,-24.5760850299,27.4196863174
FATM,Stutterheim Airport,Stutterheim,ZA,small_airport,-32.56666564941406,27.450000762939453
FATN,Thaba Nchu Tar Airport,Homeward,ZA,small_airport,-29.317800521850586,26.822799682617188
FATR,Trennery's Airport,Qolora,ZA,small_airport,-32.639682,28.422969
FATT,Tutuka Power Station Airport,Standerton,ZA,small_airport,-26.775128,29.337542
FATW,Witberg Tswalu Airport,Tswalo Game Reserve,ZA,small_airport,-27.204999923706055,22.48189926147461
FATZ,Tzaneen Airport,Tzaneen,ZA,medium_airport,-23.8244,30.3293
FAUB,Underberg Airport,Underberg,ZA,small_airport,-29.788400650024414,29.498300552368164
FAUC,Ulco Airport,Ulco,ZA,small_airport,-28.35449981689453,24.22909927368164
FAUG,Ugie Airport,Ugie,ZA,small_airport,-31.219999313354492,28.209999084472656
FAUH,Uitenhage Airport,Uitenhage,ZA,small_airport,-33.785301208496094,25.38330078125
FAUL,Prince Mangosuthu Buthelezi Airport,Ulundi,ZA,medium_airport,-28.3206005096,31.4165000916
FAUP,Upington Airport,Upington,ZA,medium_airport,-28.400246,21.263592
FAUR,Utrecht Airport,Utrecht,ZA,small_airport,-27.680500030517578,30.31679916381836
FAUS,Ulusaba Airport,Ulusaba,ZA,small_airport,-24.7854003906,31.3549003601
FAUT,K. D. Matanzima Airport,Mthatha,ZA,medium_airport,-31.546363184900002,28.6733551025
FAVA,Vaalputs Airport,Vaalputs,ZA,small_airport,-30.134199142456055,18.52669906616211
FAVB,Vryburg Airport,Vryburg,ZA,medium_airport,-26.982401,24.7288
FAVD,Vrede Airport,Vrede,ZA,small_airport,-27.44029998779297,29.153099060058594
FAVE,Ventersdorp Airport,Ventersdorp,ZA,small_airport,-26.300899505615234,26.814199447631836
FAVF,Verborgenfontei Airport,Verborgenfontein,ZA,small_airport,-31.165800094604492,23.80940055847168
FAVG,Virginia Airport,Durban,ZA,medium_airport,-29.770599,31.058399
FAVI,Von Abo's Villa Airport,Von Abo's Villa,ZA,small_airport,-27.610599517822266,26.683500289916992
FAVM,Venetia Mine Airport,Alldays,ZA,small_airport,-22.448099,29.3377
FAVP,Vanderbijlpark Airport,Vanderbijlpark,ZA,small_airport,-26.69029998779297,27.777099609375
FAVR,Vredendal Airport,Vredendal,ZA,medium_airport,-31.641000747680664,18.5447998046875
FAVS,Vastrap Airport,Upington,ZA,small_airport,-27.83458,21.63037
FAVU,Volksrust Airport,Volksrust,ZA,small_airport,-27.37689971923828,29.860000610351562
FAVV,Vereeniging Airport,Vereeniging,ZA,medium_airport,-26.566401,27.9608
FAVW,Victoria West Airport,Victoria West,ZA,small_airport,-31.399401,23.156401
FAVY,Vryheid Airport,Vryheid,ZA,small_airport,-27.78689956665039,30.79640007019043
FAWA,Warmbaths Airport,Warmbaths,ZA,small_airport,-24.90999984741211,28.299999237060547
FAWB,Wonderboom Airport,Pretoria,ZA,medium_airport,-25.6539,28.224199
FAWC,Worcester Glider Airport,Worcester,ZA,small_airport,-33.66310119628906,19.415300369262695
FAWD,Wolmeransstad Airport,Wolmeransstad,ZA,small_airport,-27.170000076293945,25.979999542236328
FAWE,Welgevonden Reserve,,ZA,small_airport,-24.2046,27.9
FAWI,Witbank Airport,Witbank,ZA,small_airport,-25.8323,29.191999
FAWK,Waterkloof Air Force Base,Pretoria,ZA,medium_airport,-25.829999923699997,28.222499847399998
FAWL,Williston Airport,Williston,ZA,small_airport,-31.38360023498535,20.93280029296875
FAWM,Welkom Airport,Welkom,ZA,small_airport,-27.996825,26.663334
FAWN,Cape Winelands Airport,Durbanville,ZA,small_airport,-33.77,18.74
FAWO,Willowmore Airport,Willowmore,ZA,small_airport,-33.263301849365234,23.4906005859375
